soil_type,SensorID,PH,N,P,K,EC
89011_20ml,Lab(Rating),L,L,vL,M,
89011_20ml,Lab(Value),5.27,0.18,1.73,146.12,
89011_20ml,4,,,,,
89011_20ml,phProbe,4.98,,,,
89015_20ml,Lab(Rating),L,vL,vH,L,
89015_20ml,Lab(Value),5.03,0.06,88.69,58.38,
89015_20ml,4,6.52,0,0,1,
89015_20ml,phProbe,5.45,,,,
bbsa_75ml,Lab(Rating),,L,vH,,
bbsa_75ml,Lab(Value),6.47,276,346.5,,
bbsa_75ml,4,6.52,81,114,232,
bbsa_75ml,phProbe,8.8,,,,
town_70ml,Lab(Rating),,L,vH,,
town_70ml,Lab(Value),5.42,233,396.3,,
town_70ml,4,6.79,24,34,68,
town_70ml,phProbe,7.45,,,,